NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100327;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100328;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100329;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100330;6.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100331;3.8;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100401;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100402;0.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100403;10.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100404;1.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100405;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100406;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100407;11.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100408;0.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100409;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100410;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100411;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100412;8.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100413;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100414;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100415;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100416;2.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100417;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100418;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100419;1.6;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100420;1.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100421;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100422;0.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100423;0.8;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100424;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100425;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100426;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100427;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100428;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100429;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100430;1.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100501;4.8;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100502;4.6;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100503;16.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100504;5.8;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100505;12.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100506;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100507;0.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100508;5.6;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100509;3.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100510;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100511;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100512;5.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100513;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100514;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100515;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100516;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100517;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100518;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100519;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100520;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100521;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100522;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100523;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100524;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100525;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100526;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100527;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100528;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100529;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100530;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100531;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100601;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100602;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100603;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100604;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100605;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100606;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100607;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100608;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100609;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100610;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100611;1.6;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100612;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100613;2.8;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100614;12.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100615;96.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100616;13.4;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100617;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100618;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100619;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100620;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100621;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100622;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100623;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100624;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100625;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100626;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100627;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100628;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100629;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100630;0.2;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100701;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100702;0.0;1
13001006;AIX-LES MILLES;43.504667;5.365667;106;20100703;0.2;1
